"","name","longitude","latitude","prov","date","key"
"1","Asclepias angustifolia Schweig.",-110.360253,31.467914,"gbif",2021-01-08,"3031894340"
"2","Asclepias angustifolia Schweig.",-101.894341,20.632724,"gbif",2021-01-24,"3032037748"
"3","Asclepias angustifolia Schweig.",-103.76648,19.864412,"gbif",2021-03-14,"3061741266"
"4","Asclepias angustifolia Schweig.",-111.19569,31.414838,"gbif",2021-04-14,"3097097383"
"5","Asclepias angustifolia Schweig.",-111.19561,31.416115,"gbif",2021-04-14,"3097195454"
"6","Asclepias angustifolia Schweig.",-99.262099,19.774136,"gbif",2021-05-03,"3112405959"
"7","Asclepias angustifolia Schweig.",-99.212035,19.775907,"gbif",2021-05-03,"3112431224"
"8","Asclepias angustifolia Schweig.",-110.866041,32.235169,"gbif",2021-05-03,"3112762983"
"9","Asclepias angustifolia Schweig.",-101.666297,20.543492,"gbif",2021-05-09,"3113258242"
"10","Asclepias angustifolia Schweig.",-100.322207,25.70403,"gbif",2021-05-08,"3113291246"
"11","Asclepias angustifolia Schweig.",-99.20946,19.776068,"gbif",2021-05-03,"3113316610"
"12","Asclepias angustifolia Schweig.",-99.262366,19.775561,"gbif",2021-05-03,"3113439566"
"13","Asclepias angustifolia Schweig.",-99.262154,19.774306,"gbif",2021-05-03,"3113576563"
"14","Asclepias angustifolia Schweig.",-102.166204,19.863416,"gbif",2021-05-08,"3302359155"
"15","Asclepias angustifolia Schweig.",-110.954497,32.228817,"gbif",2021-05-07,"3407909429"
"16","Asclepias angustifolia Schweig.",-110.317303,31.491764,"gbif",2021-05-19,"3407975438"
"17","Asclepias angustifolia Schweig.",-110.368379,31.45778,"gbif",2021-06-16,"3307355991"
"18","Asclepias angustifolia Schweig.",-99.219566,23.56055,"gbif",2021-06-24,"3321157596"
"19","Asclepias angustifolia Schweig.",-99.998458,25.08128,"gbif",2021-07-09,"3327831776"
"20","Asclepias angustifolia Schweig.",-110.890646,32.201701,"gbif",2021-07-12,"3328035126"
