"","name","longitude","latitude","prov","date","key"
"1","Asclepias asperula (Decne.) Woodson",-103.195448,29.320778,"gbif",2021-03-16,"3061520850"
"2","Asclepias asperula (Decne.) Woodson",-98.043809,30.09738,"gbif",2021-03-14,"3061545824"
"3","Asclepias asperula subsp. capricornu (Woodson) Woodson",-99.42063,30.107422,"gbif",2021-03-16,"3061582977"
"4","Asclepias asperula (Decne.) Woodson",-98.043809,30.09738,"gbif",2021-03-14,"3061608861"
"5","Asclepias asperula (Decne.) Woodson",-97.70015,30.199397,"gbif",2021-03-13,"3061740906"
"6","Asclepias asperula (Decne.) Woodson",-97.632214,30.446738,"gbif",2021-03-17,"3061743741"
"7","Asclepias asperula subsp. capricornu (Woodson) Woodson",-97.694,30.304078,"gbif",2021-03-16,"3061759208"
"8","Asclepias asperula subsp. capricornu (Woodson) Woodson",-97.774942,28.398489,"gbif",2021-03-24,"3067718551"
"9","Asclepias asperula (Decne.) Woodson",-98.164497,29.973171,"gbif",2021-03-24,"3067719819"
"10","Asclepias asperula (Decne.) Woodson",-103.268289,29.294611,"gbif",2021-03-14,"3067744735"
"11","Asclepias asperula (Decne.) Woodson",-97.884152,30.201898,"gbif",2021-03-19,"3067802119"
"12","Asclepias asperula (Decne.) Woodson",-97.87452,30.184578,"gbif",2021-03-24,"3067807861"
"13","Asclepias asperula (Decne.) Woodson",-98.386588,29.742833,"gbif",2021-03-17,"3067835538"
"14","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.043244,30.114919,"gbif",2021-03-23,"3067844494"
"15","Asclepias asperula (Decne.) Woodson",-98.98516,30.082758,"gbif",2021-03-25,"3067851940"
"16","Asclepias asperula subsp. capricornu (Woodson) Woodson",-97.958145,30.131661,"gbif",2021-03-25,"3067872685"
"17","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.19391,29.849352,"gbif",2021-03-20,"3067903358"
"18","Asclepias asperula (Decne.) Woodson",-97.455428,30.144783,"gbif",2021-03-21,"3067936381"
"19","Asclepias asperula (Decne.) Woodson",-98.168051,29.970723,"gbif",2021-03-24,"3067977846"
"20","Asclepias asperula (Decne.) Woodson",-98.179032,30.157558,"gbif",2021-03-20,"3068015716"
"21","Asclepias asperula (Decne.) Woodson",-98.330338,29.687485,"gbif",2021-03-18,"3068023583"
"22","Asclepias asperula subsp. capricornu (Woodson) Woodson",-97.722194,30.183649,"gbif",2021-03-30,"3070354921"
"23","Asclepias asperula (Decne.) Woodson",-98.328355,29.684371,"gbif",2021-03-28,"3070357968"
"24","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.043809,30.09738,"gbif",2021-03-28,"3070359150"
"25","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.043809,30.09738,"gbif",2021-03-28,"3070360017"
"26","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.043809,30.09738,"gbif",2021-03-28,"3070368170"
"27","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.635703,29.868947,"gbif",2021-03-30,"3070371852"
"28","Asclepias asperula subsp. capricornu (Woodson) Woodson",-97.9519,28.571775,"gbif",2021-03-24,"3070374454"
"29","Asclepias asperula (Decne.) Woodson",-98.335501,29.681461,"gbif",2021-03-30,"3070384120"
"30","Asclepias asperula (Decne.) Woodson",-98.332954,30.028286,"gbif",2021-03-31,"3070384293"
"31","Asclepias asperula (Decne.) Woodson",-97.624799,30.562734,"gbif",2021-03-30,"3070384845"
"32","Asclepias asperula (Decne.) Woodson",-97.874073,30.183837,"gbif",2021-03-30,"3070387920"
"33","Asclepias asperula (Decne.) Woodson",-98.332526,30.028785,"gbif",2021-03-31,"3070394777"
"34","Asclepias asperula (Decne.) Woodson",-98.33274,30.028336,"gbif",2021-03-31,"3070398688"
"35","Asclepias asperula (Decne.) Woodson",-98.332609,30.028723,"gbif",2021-03-31,"3070398692"
"36","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.633112,29.862622,"gbif",2021-03-30,"3070400149"
"37","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.215215,30.530725,"gbif",2021-03-30,"3070400426"
"38","Asclepias asperula (Decne.) Woodson",-98.332967,30.028255,"gbif",2021-03-31,"3070400649"
"39","Asclepias asperula (Decne.) Woodson",-98.332828,30.02838,"gbif",2021-03-31,"3070400650"
"40","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.630463,29.86715,"gbif",2021-03-26,"3070404652"
"41","Asclepias asperula (Decne.) Woodson",-98.013492,30.460205,"gbif",2021-03-28,"3070405822"
"42","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.614932,29.58464,"gbif",2021-03-26,"3070412652"
"43","Asclepias asperula (Decne.) Woodson",-97.649327,30.688977,"gbif",2021-03-29,"3070420430"
"44","Asclepias asperula (Decne.) Woodson",-98.332597,30.028752,"gbif",2021-03-31,"3070427857"
"45","Asclepias asperula (Decne.) Woodson",-98.131264,29.157264,"gbif",2021-03-30,"3070430170"
"46","Asclepias asperula (Decne.) Woodson",-98.332513,30.028802,"gbif",2021-03-31,"3070434573"
"47","Asclepias asperula (Decne.) Woodson",-98.332547,30.028874,"gbif",2021-03-31,"3070434574"
"48","Asclepias asperula (Decne.) Woodson",-98.352411,29.682373,"gbif",2021-03-27,"3070435612"
"49","Asclepias asperula (Decne.) Woodson",-98.332534,30.028846,"gbif",2021-03-31,"3070443338"
"50","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.239695,30.545604,"gbif",2021-03-27,"3070455821"
"51","Asclepias asperula (Decne.) Woodson",-98.317581,29.958932,"gbif",2021-03-27,"3070456623"
"52","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.239324,30.546762,"gbif",2021-03-27,"3070461831"
"53","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.043809,30.09738,"gbif",2021-03-28,"3070468825"
"54","Asclepias asperula subsp. capricornu (Woodson) Woodson",-98.939743,30.341888,"gbif",2021-03-26,"3070485514"
