"","name","longitude","latitude","prov","date","key"
"1","Asclepias erosa Torr.",-116.231125,32.934242,"gbif",2021-01-12,"3032115682"
"2","Asclepias erosa Torr.",-116.174812,34.111242,"gbif",2021-02-28,"3059039377"
"3","Asclepias erosa Torr.",-114.940308,34.107178,"gbif",2021-03-20,"3068114316"
"4","Asclepias erosa Torr.",-115.776885,33.805161,"gbif",2021-03-27,"3343996957"
"5","Asclepias erosa Torr.",-119.007828,35.420921,"gbif",2021-04-13,"3090684760"
"6","Asclepias erosa Torr.",-114.535241,36.507268,"gbif",2021-04-06,"3097299024"
"7","Asclepias erosa Torr.",-113.966763,32.283668,"gbif",2021-04-27,"3109300274"
"8","Asclepias erosa Torr.",-115.424003,36.157089,"gbif",2021-04-28,"3117814700"
"9","Asclepias erosa Torr.",-115.394163,35.041653,"gbif",2021-04-25,"3124534423"
"10","Asclepias erosa Torr.",-115.423967,36.157183,"gbif",2021-04-28,"3124669505"
"11","Asclepias erosa Torr.",-118.124383,35.737225,"gbif",2021-05-01,"3112446776"
"12","Asclepias erosa Torr.",-119.043878,35.993245,"gbif",2021-05-04,"3113300618"
"13","Asclepias erosa Torr.",-116.313894,36.413523,"gbif",2021-05-05,"3113422631"
"14","Asclepias erosa Torr.",-116.174675,34.111114,"gbif",2021-05-09,"3113585207"
"15","Asclepias erosa Torr.",-115.002269,36.075367,"gbif",2021-05-11,"3117771626"
"16","Asclepias erosa Torr.",-115.435678,35.95928,"gbif",2021-05-11,"3118229642"
"17","Asclepias erosa Torr.",-115.457955,36.019292,"gbif",2021-05-13,"3118370626"
"18","Asclepias erosa Torr.",-116.247162,34.18172,"gbif",2021-05-16,"3124492487"
"19","Asclepias erosa Torr.",-115.400933,33.767825,"gbif",2021-05-09,"3124506466"
"20","Asclepias erosa Torr.",-115.450595,36.073878,"gbif",2021-05-22,"3124531944"
"21","Asclepias erosa Torr.",-117.96916,37.843807,"gbif",2021-05-24,"3124576790"
"22","Asclepias erosa Torr.",-117.812868,37.972269,"gbif",2021-05-23,"3124598110"
"23","Asclepias erosa Torr.",-115.556747,35.096553,"gbif",2021-05-14,"3301789610"
"24","Asclepias erosa Torr.",-119.254971,35.441625,"gbif",2021-05-29,"3301844486"
"25","Asclepias erosa Torr.",-115.096494,37.904389,"gbif",2021-05-30,"3301916619"
"26","Asclepias erosa Torr.",-117.919722,35.977045,"gbif",2021-05-30,"3302068151"
"27","Asclepias erosa Torr.",-115.610262,34.797192,"gbif",2021-05-14,"3302070621"
"28","Asclepias erosa Torr.",-116.320805,32.331472,"gbif",2021-05-30,"3302174462"
"29","Asclepias erosa Torr.",-118.893616,36.11438,"gbif",2021-05-13,"3302394612"
"30","Asclepias erosa Torr.",-115.563408,35.091356,"gbif",2021-05-14,"3302485673"
"31","Asclepias erosa Torr.",-116.041139,34.135667,"gbif",2021-05-31,"3307170531"
"32","Asclepias erosa Torr.",-115.557458,35.09605,"gbif",2021-05-14,"3330454425"
"33","Asclepias erosa Torr.",-115.559678,35.094261,"gbif",2021-05-14,"3330467420"
"34","Asclepias erosa Torr.",-116.041183,34.135697,"gbif",2021-05-31,"3330473449"
"35","Asclepias erosa Torr.",-115.559538,35.094364,"gbif",2021-05-14,"3330495440"
"36","Asclepias erosa Torr.",-115.55742,35.096067,"gbif",2021-05-14,"3330511412"
"37","Asclepias erosa Torr.",-115.563508,35.091311,"gbif",2021-05-14,"3330532436"
"38","Asclepias erosa Torr.",-115.557433,35.096058,"gbif",2021-05-14,"3330623439"
"39","Asclepias erosa Torr.",-116.794638,33.386275,"gbif",2021-05-18,"3330630438"
"40","Asclepias erosa Torr.",-115.556747,35.096547,"gbif",2021-05-14,"3330644435"
"41","Asclepias erosa Torr.",-115.559372,35.094486,"gbif",2021-05-14,"3330735432"
"42","Asclepias erosa Torr.",-116.793901,33.386126,"gbif",2021-05-18,"3330768415"
"43","Asclepias erosa Torr.",-115.563522,35.091308,"gbif",2021-05-14,"3330781436"
"44","Asclepias erosa Torr.",-115.557433,35.096058,"gbif",2021-05-14,"3330784423"
"45","Asclepias erosa Torr.",-115.556763,35.096539,"gbif",2021-05-14,"3330790436"
"46","Asclepias erosa Torr.",-115.610262,34.797175,"gbif",2021-05-14,"3330792415"
"47","Asclepias erosa Torr.",-115.399711,35.043324,"gbif",2021-05-15,"3383842173"
"48","Asclepias erosa Torr.",-115.399711,35.043324,"gbif",2021-05-15,"3383881241"
"49","Asclepias erosa Torr.",-115.399711,35.043324,"gbif",2021-05-15,"3383935184"
"50","Asclepias erosa Torr.",-116.396137,34.057062,"gbif",2021-05-25,"3391656443"
"51","Asclepias erosa Torr.",-115.167847,37.849159,"gbif",2021-06-04,"3301875849"
"52","Asclepias erosa Torr.",-115.879875,38.19627,"gbif",2021-06-06,"3302478726"
"53","Asclepias erosa Torr.",-116.596245,36.993422,"gbif",2021-06-01,"3302511563"
"54","Asclepias erosa Torr.",-116.396085,34.057308,"gbif",2021-06-01,"3307174474"
"55","Asclepias erosa Torr.",-115.096481,37.904382,"gbif",2021-06-06,"3307394814"
"56","Asclepias erosa Torr.",-115.44553,36.076749,"gbif",2021-06-14,"3307395273"
"57","Asclepias erosa Torr.",-115.089934,37.894914,"gbif",2021-06-06,"3307400148"
"58","Asclepias erosa Torr.",-115.084647,37.888468,"gbif",2021-06-06,"3307446073"
"59","Asclepias erosa Torr.",-116.391088,34.06791,"gbif",2021-06-18,"3314262665"
"60","Asclepias erosa Torr.",-115.777022,33.805092,"gbif",2021-06-24,"3314364544"
"61","Asclepias erosa Torr.",-116.46954,32.907679,"gbif",2021-06-15,"3314472067"
"62","Asclepias erosa Torr.",-115.405312,35.103411,"gbif",2021-06-11,"3320903504"
"63","Asclepias erosa Torr.",-115.755222,31.401644,"gbif",2021-06-26,"3320912896"
"64","Asclepias erosa Torr.",-115.75525,31.401603,"gbif",2021-06-26,"3321211131"
"65","Asclepias erosa Torr.",-115.552458,35.316578,"gbif",2021-06-27,"3330417503"
"66","Asclepias erosa Torr.",-115.552467,35.316678,"gbif",2021-06-27,"3330651497"
"67","Asclepias erosa Torr.",-116.957261,39.416592,"gbif",2021-06-29,"3330748625"
"68","Asclepias erosa Torr.",-115.000629,36.078674,"gbif",2021-06-11,"3337621555"
"69","Asclepias erosa Torr.",-116.343054,34.099837,"gbif",2021-06-01,"3391410421"
"70","Asclepias erosa Torr.",-113.835648,36.979869,"gbif",2021-06-26,"3397736433"
"71","Asclepias erosa Torr.",-114.983055,37.665669,"gbif",2021-07-03,"3330498553"
"72","Asclepias erosa Torr.",-116.291415,36.408839,"gbif",2021-07-23,"3333450314"
"73","Asclepias erosa Torr.",-115.052709,34.036519,"gbif",2021-07-06,"3335105498"
"74","Asclepias erosa Torr.",-113.867393,32.316762,"gbif",2021-07-21,"3335124561"
"75","Asclepias erosa Torr.",-118.922913,35.900605,"gbif",2021-07-21,"3335152545"
"76","Asclepias erosa Torr.",-116.395996,34.057525,"gbif",2021-07-06,"3337511570"
"77","Asclepias erosa Torr.",-116.795714,33.386857,"gbif",2021-08-21,"3343757740"
"78","Asclepias erosa Torr.",-116.174797,34.111222,"gbif",2021-08-22,"3343791283"
"79","Asclepias erosa Torr.",-115.872008,36.296028,"gbif",2021-08-24,"3344112898"
"80","Asclepias erosa Torr.",-115.784786,33.797861,"gbif",2021-08-28,"3354990234"
"81","Asclepias erosa Torr.",-115.797549,33.782185,"gbif",2021-08-28,"3355787466"
"82","Asclepias erosa Torr.",-115.784861,33.797773,"gbif",2021-08-28,"3355815390"
"83","Asclepias erosa Torr.",-116.648767,33.29283,"gbif",2021-09-01,"3355634740"
"84","Asclepias erosa Torr.",-115.558708,35.094964,"gbif",2021-09-01,"3355665810"
"85","Asclepias erosa Torr.",-113.36634,37.024718,"gbif",2021-09-01,"3383951299"
"86","Asclepias erosa Torr.",-118.955427,36.131994,"gbif",2021-09-10,"3383982402"
"87","Asclepias erosa Torr.",-115.243042,33.949168,"gbif",2021-09-25,"3384017223"
"88","Asclepias erosa Torr.",-115.450646,36.073871,"gbif",2021-09-10,"3384288327"
"89","Asclepias erosa Torr.",-116.394703,34.054556,"gbif",2021-09-24,"3384493144"
"90","Asclepias erosa Torr.",-115.909355,34.179938,"gbif",2021-09-18,"3384503537"
"91","Asclepias erosa Torr.",-115.243147,33.949283,"gbif",2021-09-23,"3384547900"
"92","Asclepias erosa Torr.",-115.906244,33.927324,"gbif",2021-09-21,"3384735217"
"93","Asclepias erosa Torr.",-116.379242,34.774339,"gbif",2021-09-06,"3384955370"
"94","Asclepias erosa Torr.",-116.515433,33.120833,"gbif",2021-09-27,"3384999705"
"95","Asclepias erosa Torr.",-115.400908,33.767872,"gbif",2021-09-22,"3385095902"
"96","Asclepias erosa Torr.",-115.903779,33.926187,"gbif",2021-09-30,"3391326608"
"97","Asclepias erosa Torr.",-113.907272,36.6492,"gbif",2021-09-15,"3416107135"
"98","Asclepias erosa Torr.",-113.94885,36.605089,"gbif",2021-09-15,"3416182968"
"99","Asclepias erosa Torr.",-115.24643,33.972291,"gbif",2021-10-02,"3391296592"
"100","Asclepias erosa Torr.",-118.880776,34.722969,"gbif",2021-10-07,"3391341598"
"101","Asclepias erosa Torr.",-116.384544,33.134881,"gbif",2021-10-10,"3391372170"
"102","Asclepias erosa Torr.",-116.384927,33.134941,"gbif",2021-10-10,"3391483271"
"103","Asclepias erosa Torr.",-116.384393,33.134788,"gbif",2021-10-10,"3391512132"
"104","Asclepias erosa Torr.",-114.517958,36.483545,"gbif",2021-10-02,"3391524688"
"105","Asclepias erosa Torr.",-116.295084,36.410361,"gbif",2021-10-07,"3391659677"
"106","Asclepias erosa Torr.",-115.393342,35.041048,"gbif",2021-10-05,"3391664618"
"107","Asclepias erosa Torr.",-116.295534,36.411007,"gbif",2021-10-07,"3391701692"
"108","Asclepias erosa Torr.",-116.38429,33.134728,"gbif",2021-10-10,"3391706066"
"109","Asclepias erosa Torr.",-115.243358,33.967347,"gbif",2021-10-02,"3391717554"
"110","Asclepias erosa Torr.",-116.39616,34.057313,"gbif",2021-10-14,"3398634040"
"111","Asclepias erosa Torr.",-115.394097,35.041645,"gbif",2021-10-10,"3398684979"
"112","Asclepias erosa Torr.",-116.396044,34.057281,"gbif",2021-10-12,"3398915603"
"113","Asclepias erosa Torr.",-116.396094,34.05704,"gbif",2021-10-14,"3399105086"
"114","Asclepias erosa Torr.",-115.39408,35.041653,"gbif",2021-10-10,"3399125930"
"115","Asclepias erosa Torr.",-115.394112,35.04165,"gbif",2021-10-10,"3399454857"
"116","Asclepias erosa Torr.",-115.780747,33.801212,"gbif",2021-10-28,"3407977686"
"117","Asclepias erosa Torr.",-116.396072,34.057261,"gbif",2021-10-02,"3415502986"
"118","Asclepias erosa Torr.",-116.070025,33.202406,"gbif",2021-11-14,"3415536738"
"119","Asclepias erosa Torr.",-115.442672,33.523055,"gbif",2021-11-12,"3415813478"
"120","Asclepias erosa Torr.",-115.044242,33.309883,"gbif",2021-11-13,"3416014204"
"121","Asclepias erosa Torr.",-115.353147,33.787283,"gbif",2021-11-17,"3416024606"
"122","Asclepias erosa Torr.",-115.400841,33.759236,"gbif",2020-02-24,"2576438117"
"123","Asclepias erosa Torr.",-118.766639,35.132722,"gbif",2020-03-21,"2596265757"
"124","Asclepias erosa Torr.",-115.354554,33.787259,"gbif",2020-03-27,"2610993558"
"125","Asclepias erosa Torr.",-116.246965,34.198514,"gbif",2020-03-31,"3017952398"
"126","Asclepias erosa Torr.",-115.819742,33.883111,"gbif",2020-03-10,"3031982453"
"127","Asclepias erosa Torr.",-115.753512,34.275859,"gbif",2020-04-21,"2609146011"
"128","Asclepias erosa Torr.",-114.941413,34.023431,"gbif",2020-04-17,"2609269001"
"129","Asclepias erosa Torr.",-116.396076,34.057149,"gbif",2020-04-27,"2611023853"
"130","Asclepias erosa Torr.",-116.030121,34.164404,"gbif",2020-04-27,"2611214474"
"131","Asclepias erosa Torr.",-116.592708,34.455936,"gbif",2020-04-22,"3031796650"
"132","Asclepias erosa Torr.",-119.004366,36.107701,"gbif",2020-04-03,"3031863615"
"133","Asclepias erosa Torr.",-115.631821,34.858373,"gbif",2020-04-22,"3031866657"
"134","Asclepias erosa Torr.",-116.174369,34.114522,"gbif",2020-05-01,"2619902949"
"135","Asclepias erosa Torr.",-116.174378,34.114478,"gbif",2020-05-01,"2619948001"
"136","Asclepias erosa Torr.",-116.355088,34.758688,"gbif",2020-05-04,"2620132068"
"137","Asclepias erosa Torr.",-116.56077,36.142927,"gbif",2020-05-11,"2626221466"
"138","Asclepias erosa Torr.",-116.577077,33.168853,"gbif",2020-05-12,"2626221667"
"139","Asclepias erosa Torr.",-116.541895,33.124917,"gbif",2020-05-20,"2626239614"
"140","Asclepias erosa Torr.",-115.24154,33.968299,"gbif",2020-05-08,"2626256264"
"141","Asclepias erosa Torr.",-115.447913,36.082211,"gbif",2020-05-18,"2626257161"
"142","Asclepias erosa Torr.",-116.565401,33.161452,"gbif",2020-05-12,"2626375814"
"143","Asclepias erosa Torr.",-116.522806,32.294078,"gbif",2020-05-16,"2626629540"
"144","Asclepias erosa Torr.",-115.957108,34.605062,"gbif",2020-05-10,"2626650131"
"145","Asclepias erosa Torr.",-113.780411,34.607515,"gbif",2020-05-14,"2626659827"
"146","Asclepias erosa Torr.",-115.543158,35.111364,"gbif",2020-05-19,"2633970821"
"147","Asclepias erosa Torr.",-115.819922,33.885125,"gbif",2020-05-23,"2634007142"
"148","Asclepias erosa Torr.",-114.963552,37.692857,"gbif",2020-05-24,"2634053043"
"149","Asclepias erosa Torr.",-114.724619,36.457362,"gbif",2020-05-25,"2634059582"
"150","Asclepias erosa Torr.",-115.817082,33.882296,"gbif",2020-05-29,"2634117482"
"151","Asclepias erosa Torr.",-115.427068,36.060211,"gbif",2020-05-22,"2634246939"
"152","Asclepias erosa Torr.",-116.544987,33.14208,"gbif",2020-05-25,"2634278568"
"153","Asclepias erosa Torr.",-115.721487,35.585049,"gbif",2020-05-27,"2634281901"
"154","Asclepias erosa Torr.",-118.124869,35.739895,"gbif",2020-05-23,"2634428054"
"155","Asclepias erosa Torr.",-116.505495,32.335953,"gbif",2020-05-30,"2634451756"
