"","name","longitude","latitude","prov","date","key"
"1","Asclepias linaria Cav.",-101.339531,19.828064,"gbif",2021-01-02,"3031622209"
"2","Asclepias linaria Cav.",-101.339554,19.828213,"gbif",2021-01-02,"3031659270"
"3","Asclepias linaria Cav.",-100.960986,20.992397,"gbif",2021-01-16,"3031687010"
"4","Asclepias linaria Cav.",-101.539117,21.054838,"gbif",2021-01-17,"3031721061"
"5","Asclepias linaria Cav.",-100.444027,20.486009,"gbif",2021-01-16,"3031726979"
"6","Asclepias linaria Cav.",-101.339317,19.828331,"gbif",2021-01-02,"3031742306"
"7","Asclepias linaria Cav.",-100.299792,20.487142,"gbif",2021-01-14,"3031746849"
"8","Asclepias linaria Cav.",-99.193156,19.322679,"gbif",2021-01-16,"3031917297"
"9","Asclepias linaria Cav.",-101.2275,19.640556,"gbif",2021-01-16,"3031918272"
"10","Asclepias linaria Cav.",-101.805295,20.830288,"gbif",2021-01-23,"3031985587"
"11","Asclepias linaria Cav.",-100.516228,20.792339,"gbif",2021-01-19,"3032010283"
"12","Asclepias linaria Cav.",-101.224643,19.634512,"gbif",2021-01-16,"3032070491"
"13","Asclepias linaria Cav.",-99.120773,20.032543,"gbif",2021-01-28,"3039391887"
"14","Asclepias linaria Cav.",-100.131479,21.453679,"gbif",2021-01-24,"3044839010"
"15","Asclepias linaria Cav.",-101.339531,19.828131,"gbif",2021-02-06,"3039312652"
"16","Asclepias linaria Cav.",-99.149048,20.027498,"gbif",2021-02-04,"3039342465"
"17","Asclepias linaria Cav.",-99.192525,19.322673,"gbif",2021-02-06,"3039467044"
"18","Asclepias linaria Cav.",-98.960129,19.397451,"gbif",2021-02-14,"3044637280"
"19","Asclepias linaria Cav.",-100.525788,20.808206,"gbif",2021-02-13,"3044649151"
"20","Asclepias linaria Cav.",-104.799722,24.004167,"gbif",2021-02-12,"3044689306"
"21","Asclepias linaria Cav.",-110.693855,32.30652,"gbif",2021-02-15,"3044780288"
"22","Asclepias linaria Cav.",-101.201973,19.647837,"gbif",2021-02-22,"3044930178"
"23","Asclepias linaria Cav.",-100.528845,20.810279,"gbif",2021-02-20,"3044949971"
"24","Asclepias linaria Cav.",-99.053231,19.591982,"gbif",2021-02-06,"3067720457"
"25","Asclepias linaria Cav.",-102.49654,22.762435,"gbif",2021-03-03,"3058976959"
"26","Asclepias linaria Cav.",-99.1937,19.321354,"gbif",2021-03-12,"3061796365"
"27","Asclepias linaria Cav.",-101.192783,21.673139,"gbif",2021-03-18,"3067728585"
"28","Asclepias linaria Cav.",-110.684288,32.340897,"gbif",2021-03-19,"3068064508"
"29","Asclepias linaria Cav.",-109.966307,31.952623,"gbif",2021-03-18,"3070388450"
"30","Asclepias linaria Cav.",-99.193176,19.321421,"gbif",2021-03-27,"3070591713"
"31","Asclepias linaria Cav.",-110.792291,32.374223,"gbif",2021-03-15,"3070721709"
"32","Asclepias linaria Cav.",-101.609413,19.83007,"gbif",2021-03-26,"3079586025"
"33","Asclepias linaria Cav.",-112.697457,32.0162,"gbif",2021-03-30,"3090973994"
"34","Asclepias linaria Cav.",-98.213065,19.157203,"gbif",2021-03-20,"3301996607"
"35","Asclepias linaria Cav.",-109.96462,31.95172,"gbif",2021-03-18,"3391676470"
"36","Asclepias linaria Cav.",-99.178106,19.324571,"gbif",2021-04-03,"3079635131"
"37","Asclepias linaria Cav.",-99.192334,19.323075,"gbif",2021-04-03,"3079689147"
"38","Asclepias linaria Cav.",-98.360362,20.118026,"gbif",2021-04-08,"3079698129"
"39","Asclepias linaria Cav.",-101.12091,19.637169,"gbif",2021-04-03,"3079705560"
"40","Asclepias linaria Cav.",-103.938427,21.865673,"gbif",2021-04-07,"3090556274"
"41","Asclepias linaria Cav.",-98.838539,20.115677,"gbif",2021-04-10,"3090612188"
"42","Asclepias linaria Cav.",-110.68525,32.337155,"gbif",2021-04-09,"3090868208"
"43","Asclepias linaria Cav.",-99.748821,23.582816,"gbif",2021-04-10,"3090881663"
"44","Asclepias linaria Cav.",-98.891772,19.329632,"gbif",2021-04-11,"3090938772"
"45","Asclepias linaria Cav.",-110.692586,32.336228,"gbif",2021-04-13,"3096998663"
"46","Asclepias linaria Cav.",-100.811288,20.527961,"gbif",2021-04-11,"3097262651"
"47","Asclepias linaria Cav.",-109.97313,31.928012,"gbif",2021-04-20,"3097399431"
"48","Asclepias linaria Cav.",-103.777418,19.941959,"gbif",2021-04-28,"3109234505"
"49","Asclepias linaria Cav.",-101.177642,19.668571,"gbif",2021-04-25,"3109288879"
"50","Asclepias linaria Cav.",-99.244298,19.790497,"gbif",2021-04-30,"3112294650"
"51","Asclepias linaria Cav.",-110.645325,32.226037,"gbif",2021-04-29,"3112297491"
"52","Asclepias linaria Cav.",-99.180833,19.261389,"gbif",2021-04-30,"3112334743"
"53","Asclepias linaria Cav.",-99.242751,19.788196,"gbif",2021-04-30,"3112542614"
"54","Asclepias linaria Cav.",-110.645408,32.225108,"gbif",2021-04-29,"3112546529"
"55","Asclepias linaria Cav.",-99.20929,19.77666,"gbif",2021-04-30,"3112709805"
"56","Asclepias linaria Cav.",-99.141678,19.249528,"gbif",2021-04-30,"3112849320"
"57","Asclepias linaria Cav.",-99.209632,19.776068,"gbif",2021-04-30,"3112929182"
"58","Asclepias linaria Cav.",-101.361406,19.478735,"gbif",2021-04-10,"3124764084"
"59","Asclepias linaria Cav.",-98.213116,19.157179,"gbif",2021-04-09,"3302220310"
"60","Asclepias linaria Cav.",-100.90093,21.475178,"gbif",2021-04-06,"3321091616"
"61","Asclepias linaria Cav.",-110.665564,30.428264,"gbif",2021-04-25,"3321153245"
"62","Asclepias linaria Cav.",-110.492133,32.120542,"gbif",2021-04-18,"3383956634"
"63","Asclepias linaria Cav.",-110.792213,32.374272,"gbif",2021-04-23,"3384668638"
"64","Asclepias linaria Cav.",-101.172512,19.669266,"gbif",2021-05-01,"3112330128"
"65","Asclepias linaria Cav.",-112.103051,33.532526,"gbif",2021-05-01,"3112393056"
"66","Asclepias linaria Cav.",-99.204462,19.807695,"gbif",2021-05-02,"3112415124"
"67","Asclepias linaria Cav.",-99.109993,19.602938,"gbif",2021-05-02,"3112415755"
"68","Asclepias linaria Cav.",-110.910816,32.248066,"gbif",2021-05-01,"3112591941"
"69","Asclepias linaria Cav.",-99.258287,19.776558,"gbif",2021-05-02,"3112667440"
"70","Asclepias linaria Cav.",-101.212746,19.629063,"gbif",2021-05-03,"3112693332"
"71","Asclepias linaria Cav.",-101.211487,19.613684,"gbif",2021-05-01,"3112722171"
"72","Asclepias linaria Cav.",-99.089936,19.592153,"gbif",2021-05-04,"3112837573"
"73","Asclepias linaria Cav.",-100.354355,20.548133,"gbif",2021-05-08,"3113257272"
"74","Asclepias linaria Cav.",-100.359903,20.554037,"gbif",2021-05-08,"3113299187"
"75","Asclepias linaria Cav.",-97.829039,18.996202,"gbif",2021-05-08,"3113413116"
"76","Asclepias linaria Cav.",-99.174772,19.32769,"gbif",2021-05-10,"3113496451"
"77","Asclepias linaria Cav.",-101.258286,19.8561,"gbif",2021-05-08,"3113600341"
"78","Asclepias linaria Cav.",-101.258341,19.855914,"gbif",2021-05-08,"3113642344"
"79","Asclepias linaria Cav.",-101.258056,19.855833,"gbif",2021-05-08,"3113688359"
"80","Asclepias linaria Cav.",-100.346275,25.354181,"gbif",2021-05-04,"3113701687"
"81","Asclepias linaria Cav.",-110.755662,32.359795,"gbif",2021-05-11,"3113704594"
