"","date","year","month","day","latitude","longitude","name"
"1","2020-11-12T16:33:39",2020,11,12,33.967889,-118.240185,"Danaus plexippus"
"2","2020-05-31T10:47:00",2020,5,31,34.109764,-118.226258,"Danaus plexippus"
"3","2020-06-25T10:48:00",2020,6,25,32.860978,-117.00785,"Danaus plexippus"
"4","2019-12-13T13:46:47",2019,12,13,33.763062,-118.155272,"Danaus plexippus"
"5","2021-09-02T18:30:42",2021,9,2,35.267957,-120.63561,"Danaus plexippus"
"6","2021-02-15T11:44:33",2021,2,15,34.176532,-118.325751,"Danaus plexippus"
"7","2021-10-29T09:20:00",2021,10,29,34.267222,-119.238056,"Danaus plexippus"
"8","2019-06-27T14:16:14",2019,6,27,22.101001,-100.826337,"Danaus plexippus"
"9","2020-03-24T10:46:00",2020,3,24,25.273262,-100.864632,"Danaus plexippus"
"10","2019-10-29T18:00:00",2019,10,29,25.413398,-100.973697,"Danaus plexippus"
"11","2021-10-30T13:38:00",2021,10,30,25.460216,-100.241162,"Danaus plexippus"
"12","2019-08-09T16:36:34",2019,8,9,35.606888,-106.117744,"Danaus plexippus"
"13","2020-08-23T11:35:00",2020,8,23,38.075132,-102.610939,"Danaus plexippus"
"14","2020-01-20T14:31:00",2020,1,20,35.129615,-120.632575,"Danaus plexippus"
"15","2021-07-26T14:20:02",2021,7,26,35.123018,-120.572217,"Danaus plexippus"
"16","2020-08-23T10:23:30",2020,8,23,32.976722,-116.581025,"Danaus plexippus"
"17","2019-07-16T19:50:21",2019,7,16,21.868988,-102.256198,"Danaus plexippus"
"18","2018-12-18T09:44:00",2018,12,18,33.89213,-118.385461,"Danaus plexippus"
"19","2017-09-09T12:01:48",2017,9,9,32.732391,-117.149214,"Danaus plexippus"
"20","2020-06-16T15:56:32",2020,6,16,33.571011,-118.421747,"Danaus plexippus"
"21","2020-05-22T11:16:08",2020,5,22,33.604243,-118.165073,"Danaus plexippus"
"22","2020-11-21T09:05:00",2020,11,21,24.001207,-100.234906,"Danaus plexippus"
"23","2020-05-08T12:25:50",2020,5,8,22.095391,-101.164832,"Danaus plexippus"
"24","2020-07-07T14:55:00",2020,7,7,33.753672,-118.034472,"Danaus plexippus"
"25","2019-06-18T12:02:03",2019,6,18,32.993291,-117.020907,"Danaus plexippus"
"26","2019-06-29T10:13:43",2019,6,29,33.194624,-117.2793,"Danaus plexippus"
"27","2019-09-18T10:38:08",2019,9,18,34.128117,-118.21235,"Danaus plexippus"
"28","2014-10-24T13:18:00",2014,10,24,25.693352,-100.644413,"Danaus plexippus"
"29","2020-07-12T00:00:00",2020,7,12,32.745264,-117.236815,"Danaus plexippus"
"30","2019-07-30T13:22:00",2019,7,30,32.828046,-105.757363,"Danaus plexippus"
"31","2015-09-26T14:44:40",2015,9,26,36.057015,-112.139864,"Danaus plexippus"
"32","2019-06-23T10:58:00",2019,6,23,33.334792,-116.892713,"Danaus plexippus"
"33","2021-09-22T15:23:00",2021,9,22,36.493019,-112.131467,"Danaus plexippus"
"34","2016-08-03T13:23:39",2016,8,3,32.902662,-117.194275,"Danaus plexippus"
"35","2017-03-28T14:54:00",2017,3,28,34.146848,-118.278272,"Danaus plexippus"
"36","2021-08-28T09:09:32",2021,8,28,34.228725,-118.251092,"Danaus plexippus"
"37","2021-08-21T10:37:04",2021,8,21,34.258145,-119.235611,"Danaus plexippus"
"38","2021-04-01T12:42:57",2021,4,1,34.035157,-118.6887,"Danaus plexippus"
"39","2020-05-21T10:11:02",2020,5,21,34.103917,-118.351975,"Danaus plexippus"
"40","2017-04-15T09:48:03",2017,4,15,34.270082,-118.384702,"Danaus plexippus"
"41","2020-05-30T17:23:02",2020,5,30,34,-118.34,"Danaus plexippus"
"42","2020-06-17T10:21:06",2020,6,17,33.648462,-117.948421,"Danaus plexippus"
"43","2020-03-15T13:27:49",2020,3,15,33.96711,-118.409111,"Danaus plexippus"
"44","2018-03-11T13:32:00",2018,3,11,33.874121,-118.294204,"Danaus plexippus"
"45","2021-07-28T19:24:00",2021,7,28,31.324813,-109.263424,"Danaus plexippus"
"46","2021-10-24T18:55:00",2021,10,24,25.766561,-100.428632,"Danaus plexippus"
"47","2020-06-25T10:43:00",2020,6,25,34.111295,-117.715127,"Danaus plexippus"
"48","2021-05-07T16:30:28",2021,5,7,33.637892,-117.245917,"Danaus plexippus"
"49","2016-08-28T14:13:00",2016,8,28,34.919543,-102.11101,"Danaus plexippus"
"50","2016-09-07T10:14:00",2016,9,7,36.145757,-115.419547,"Danaus plexippus"
"51","2020-08-08T17:07:43",2020,8,8,32.866087,-117.239792,"Danaus plexippus"
"52","2020-03-10T13:26:09",2020,3,10,33.919503,-118.374918,"Danaus plexippus"
"53","2019-08-30T10:44:00",2019,8,30,34.037792,-117.711992,"Danaus plexippus"
"54","2021-02-24T10:36:38",2021,2,24,33.616817,-117.665367,"Danaus plexippus"
"55","2021-04-29T07:08:07",2021,4,29,34.09046,-118.005041,"Danaus plexippus"
"56","2016-06-03T10:39:33",2016,6,3,33.977182,-118.284173,"Danaus plexippus"
"57","2019-07-16T14:32:38",2019,7,16,32.64234,-105.690057,"Danaus plexippus"
"58","2021-05-12T12:43:12",2021,5,12,33.988992,-118.403022,"Danaus plexippus"
"59","2016-04-01T14:34:48",2016,4,1,33.496622,-117.662076,"Danaus plexippus"
"60","2021-01-06T13:11:00",2021,1,6,33.964997,-118.431757,"Danaus plexippus"
